ABW,Aruba,,2897
AFG,Afghanistan,Eastern Mediterranean Region (EMRO),"289,308,310,314,393,396,449,454,461,464,529,534,541,544,705,818,824,829,893,895,1063,1341,3330"
AGO,Angola,African Region (AFRO),"303,311,420,472,710,720,732,1278,1279,1281,1283,1289,1290,1292,1294,1295,1297,1298,1300,1302,1303,1305,1306,1308,1310,1312,1318,1324,1328,1338,1346,1351,1356,1365,1367,1404,1515,1518,1524,1528,1531,1536,1645,1648,1674,1675,1677,1990,2005,2104,2894,2917,2936,2965,3279"
AIA,Anguilla,,
ALA,Åland Islands,,
ALB,Albania,European Region (EURO),116
AND,Andorra,European Region (EURO),
ARE,United Arab Emirates,Eastern Mediterranean Region (EMRO),"2301,2304,2346,2359,2362,2540,2570,2588,2596,2599,2600,2609,2612,2615,2618,2621,2625,2629,2641,2646,2654,2669,2711,2744,2748,2765,2770,2777,2874,2969,3037,3049,3074,3081,3109,3139,3310,3341,3352,3426"
ARG,Argentina,Region of the Americas (PAHO),"2905,2912,3208"
ARM,Armenia,European Region (EURO),316
ASM,American Samoa,,
ATA,Antarctica,,
ATF,French Southern Territories,,
ATG,Antigua and Barbuda,Region of the Americas (PAHO),
AUS,Australia,Western Pacific Region (WPRO),"525,526,3130,3243"
AUT,Austria,European Region (EURO),"2075,2076,2677,2981"
AZE,Azerbaijan,European Region (EURO),"1479,1481,1492,1504"
BDI,Burundi,African Region (AFRO),"1,158,160,210,294,445,451,830,838,842,847,851,857,869,1156,3383"
BEL,Belgium,European Region (EURO),"474,749,750,2060"
BEN,Benin,African Region (AFRO),"33,42,54,118,132,197,621,625,638,649,657,1081,1384,1743,2155,2895,2964,3020"
BES,"Bonaire, Sint Eustatius and Saba",,2896
BFA,Burkina Faso,African Region (AFRO),"19,34,43,55,169,186,193,194,383,626,637,644,648,656,662,669,691,721,727,799,800,805,813,817,897,898,913,917,974,1071,1073,1180,1195,1200,1242,1368,1382,1385,1597,1614,1624,1763,2156,2990,3022,3091,3411"
BGD,Bangladesh,South-East Asia Region (SEARO),"321,680,681,683,849,1149,1167,1186,1482,1741,2050,2057,2149,2151,3103"
BGR,Bulgaria,European Region (EURO),"699,2061"
BHR,Bahrain,Eastern Mediterranean Region (EMRO),2945
BHS,Bahamas,Region of the Americas (PAHO),
BIH,Bosnia and Herzegovina,European Region (EURO),13
BLM,Saint Barthélemy,,3367
BLR,Belarus,European Region (EURO),
BLZ,Belize,Region of the Americas (PAHO),"350,364,379"
BMU,Bermuda,,
BOL,Bolivia (Plurinational State of),Region of the Americas (PAHO),"164,181,278,391,400,437,2869"
BRA,Brazil,Region of the Americas (PAHO),"3,130,312,327,352,399,404,414,438,484,487,488,631,633,641,806,815,894,1707,1729,2117,2659,2694,2719,2827,2838,2841,2850,2863,2888,3004,3010,3017,3019,3026,3033,3099,3113,3120,3124,3145,3217,3236,3397,3419"
BRB,Barbados,Region of the Americas (PAHO),2867
BRN,Brunei Darussalam,,450
BTN,Bhutan,South-East Asia Region (SEARO),313
BVT,Bouvet Island,,
BWA,Botswana,African Region (AFRO),
CAF,Central African Republic,African Region (AFRO),"38,47,59,224,493,651,658,663,670,693,1077,1185,1739,1762,1926,2986,3280,3361"
CAN,Canada,Region of the Americas (PAHO),"528,548,856,864,865,868,874,877,878,881,883,884,991,1007,1025,1029,1047,1062,1182,1562,1822,1826,2114,2544,2708,2717,3014"
CCK,Cocos (Keeling) Islands,,
CHE,Switzerland,European Region (EURO),"2089,2090"
CHL,Chile,Region of the Americas (PAHO),"256,2120,2768,2938,3052,3209,3358"
CHN,China,Western Pacific Region (WPRO),"384,385,485,902,903,906,910,921,944,962,1013,1016,1020,1023,1026,1028,1040,1041,1096,1097,1098,1101,1118,1119,1125,1126,1129,1133,1142,1145,1165,1188,1189,1190,1191,1192,1193,1194,1221,1222,1359,1364,1410,1413,1418,1421,1423,1426,1429,1433,1439,1442,1450,1453,1463,1474,1475,1498,1508,1509,1511,1534,1544,1547,1579,1607,1619,1631,1635,1679,1681,1711,1715,1717,1737,1738,1740,1752,1753,1756,1776,1780,1782,1784,1786,1899,1979,2028,2107,2131,2140,2168,2236,2237,2238,2239,2240,2241,2242,2243,2244,2245,2246,2247,2248,2249,2250,2251,2252,2253,2254,2255,2256,2257,2258,2259,2263,2264,2271,2278,2297,2306,2310,2329,2334,2341,2355,2357,2541,2545,2546,2547,2548,2549,2550,2551,2552,2553,2554,2555,2556,2557,2560,2561,2562,2563,2564,2565,2567,2568,2569,2571,2572,2573,2574,2576,2577,2578,2579,2581,2582,2583,2584,2586,2587,2592,2594,2595,2601,2603,2604,2605,2606,2607,2610,2613,2616,2617,2619,2628,2631,2637,2644,2647,2651,2658,2660,2673,2682,2690,2696,2698,2699,2704,2707,2710,2714,2723,2729,2735,2741,2752,2769,2787,2790,2825,2835,2852,2857,2864,2865,2873,2889,2900,2921,2922,2923,2928,2930,2944,2947,2952,2953,2954,2957,2963,2972,2975,2978,2989,2994,2998,2999,3000,3002,3005,3007,3012,3015,3018,3024,3025,3027,3030,3034,3035,3036,3040,3043,3045,3046,3054,3060,3067,3071,3076,3079,3088,3117,3167,3244,3340,3344,3430,946"
CIV,Côte d’Ivoire,African Region (AFRO),"8,682,713,717,718,719,722,724,725,728,730,734,837,892,1383,1420,1568,1749,1936,2037,2038,2068,2158,3070,3325"
CMR,Cameroon,African Region (AFRO),"39,48,60,287,323,627,639,715,1157,1206,1909,1948,1976,2009,2142,2327,2349,2590,2623,2674,3142,3148,3264,3277"
COD,Democratic Republic of the Congo,African Region (AFRO),"65,67,86,136,152,162,183,203,204,207,225,241,250,265,291,293,325,382,424,426,427,429,432,435,436,441,443,478,492,497,503,504,611,733,741,791,797,804,862,886,889,890,891,904,1027,1244,1253,1268,1269,1271,1273,1275,1532,1564,1570,1594,1646,1652,1655,1658,1660,1662,1768,1771,1791,1991,2006,2100,2110,2175,2182,2183,2186,2189,2192,2193,2197,2202,2209,2290,2524,2537,2538,2626,2849,2934,2950,2961,3044,3057,3122,3134,3135,3136,3137,3138,3140,3143,3144,3146,3147,3152,3154,3155,3156,3157,3160,3161,3162,3163,3165,3168,3171,3174,3175,3177,3181,3183,3184,3186,3188,3189,3191,3192,3193,3194,3196,3199,3200,3202,3204,3207,3210,3213,3215,3218,3222,3225,3229,3230,3231,3232,3234,3235,3237,3239,3241,3253,3257,3260,3262,3263,3266,3267,3268,3270,3272,3274,3278,3283,3284,3285,3286,3289,3290,3292,3294,3297,3300,3302,3304,3308,3309,3312,3313,3316,3320,3327,3329,3336,3339,3342,3346,3350,3351,3353,3354,3356,3360,3362,3368,3370,3371,3372,3374,3375,3379,3381,3384,3385,3386,3388,3389,3390,3392,3394,3395,3398,3401,3403,3409,3423,3429,3439,3443"
COG,Republic of Congo,African Region (AFRO),"267,268,398,767,769,771,773,775,777,783,788,795,803,808,820,821,827,899,900,905,907,908,912,915,916,923,932,945,955,979,1078,1080,1082,1085,1086,1091,1099,1314,1317,1322,1336,1831,1983,1985,2020,2021,2101,2223,3169,3240"
COK,Cook Islands,Western Pacific Region (WPRO),178
COL,Colombia,Region of the Americas (PAHO),"439,2118,2828,2890"
