diseases,dons_diseases
Chikungunya,Chikungunya
Cholera,Cholera
Crimean-Congo Hemorrhagic Fever,Crimean-Congo haemorrhagic fever
Dengue,Dengue fever
Diphtheria,Diptheria
Dysentery,Dysentery
E. coli,E. coli
Ebola,Ebola virus
Enterovirus,Enterovirus
Hantavirus,Hantavirus
Hepatitis A,Hepatitis A
Hepatitis E,Hepatitis E
Japanese Encephalitis,Japanese encephalitis
Lassa Fever,Lassa fever
Legionnaires',Legionellosis
Leptospirosis,Leptospirosis
Listeriosis,Listeriosis
MERS,MERS-CoV
Malaria,Malaria
Marburg Fever,Marburg fever
Nipah/Hendra Virus,Nipah virus
Plague,Plague
Pneumonia,Pseudomonas aeruginosa
Relapsing Fever,Tick-borne relapsing fever
Rift Valley Fever,Rift Valley fever
SARS,SARS-CoV
Salmonella,Salmonella enterica
St. Louis Encephalitis,St. Louis encephalitis
Strep,Streptococcus suis
Tuberculosis,Tuberculosis
Typhoid,Typhoid
Typhus,Typhus
Valley Fever,Coccidioidomycosis
Venezuelan Equine Encephalitis,Venezuelan equine encephalitis
West Nile Virus,West Nile virus
Yellow Fever,Yellow fever
Zika virus,Zika virus disease
